title,price,img
Blue Star 1 Ton 5 Star Convertible 5 in 1 Cooling Inverter Split AC (Copper. Multi Sensors. Dust Filters. Smart Ready. Blue Fins. Self Diagnosis. 2023Model. IC512YNU.White),₹38,990,https://m.media-amazon.com/images/I/61nF5ekaaPL._AC_UL320_.jpg
Panasonic 1 Ton 4 Star Wi-Fi Inverter Smart Split AC (Copper Condenser. 7 in 1 Convertible with additional AI Mode. 4 Way Swing. PM 0.1 Air Purification Filter. CS/CU-NU12YKY4W.2023 Model. White),₹34,990,https://m.media-amazon.com/images/I/61zXnk6ikEL._AC_UL320_.jpg
Whirlpool 1.5 Ton 5 Star. Flexicool Inverter Split AC (Copper. Convertible 4-in-1 Cooling Mode. HD Filter 2023 Model. S3I3AD0. White),null,https://m.media-amazon.com/images/I/51B6oZqK6bL._AC_UL320_.jpg
Blue Star 1.5 Ton 3 Star Fixed Speed Window AC (Copper. Turbo Cool. Humidity Control. Hydrophilic Blue Fins. Dust Filters. Self-Diagnosis. 2023 Model. WFA318LN. White),₹34,440,https://m.media-amazon.com/images/I/61ZpGVUqrJL._AC_UL320_.jpg
Carrier 1.5 Ton 5 Star Inverter Split AC (Copper.ESTER Dxi. 6-in-1 Flexicool Inverter. 2022 Model.R32 .White),₹45,580,https://m.media-amazon.com/images/I/61JtwWcAcoL._AC_UL320_.jpg
Godrej 1.5 Ton 5 Star. 5-in-1 Convertible Cooling. Inverter Split AC (Copper. Heavy Duty Cooling At 52°C. Anti-dust Filter. 2023 Model. AC 1.5T EI 18IINV5R32 WWR. White),₹36,990,https://m.media-amazon.com/images/I/51n0D27hQnL._AC_UL320_.jpg
Blue Star 1.5 Ton 5 Star Fixed Speed Window AC (Copper. Turbo Cool. Humidity Control. Fan Modes-Auto/High/Medium/Low. Hydrophilic Blue Fins. Dust Filter. Self-Diagnosis. 2023 Model. WFA518LN. White),null,https://m.media-amazon.com/images/I/716Th8S+-FL._AC_UL320_.jpg
Blue Star 4 in 1 Convertible 2 Ton 3 Star Inverter Split Air Conditioner with Dust Filter (Copper Condenser. IA324YNU),₹49,410,https://m.media-amazon.com/images/I/41K8zEvR84L._AC_UL320_.jpg
Panasonic 1.5 Ton 4 Star Wi-Fi Inverter Smart Split AC (Copper. 7 in 1 Convertible with additional AI Mode. 4 Way Swing. nanoe-G Air Purification Filter. CS/CU-PU18YKY4W.2023 Model. White),₹41,990,https://m.media-amazon.com/images/I/71c-Op0z-tL._AC_UL320_.jpg
Voltas Split Air Conditioner SAC 185V CAZZ. White. (4503222),₹39,990,https://m.media-amazon.com/images/I/61a-F8WxWOL._AC_UL320_.jpg
